benefit - benefit
Company,welfare
日商再春館股份有限公司台灣分公司,"★台灣員工獨享:日本工作簽證申請輔助、長期休假申請、歸國支援★
優惠員工宿舍、免費通勤巴士、員工食堂、日本國內或海外員工旅遊、員工教育訓練、體育館及健身房、生日禮物、不定時聚餐、婚喪喜慶補助、日本勞健保、週休二日、免費員工制服、員工健康檢查。"
富邦人壽保險股份有限公司(富六通訊處)(核准文號：110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_富寶通訊處(高賜寶)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎金及其&旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_竹佑通訊處(蔣仕崇)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
新加坡商優思特股份有限公司台灣分公司,"* 優於勞基法之休假制度
* 每年提供健康檢查補助
* 每年提供視力保健補助
* 員工團保福利
* 三節禮物及生日禮物

Life at UST is all about fun, challenge and excitement. If you like to spend your career in a collaborative culture, UST is the place to be."
國泰人壽保險股份有限公司_專板泰通訊處(陳秀禎)(認證編號20210315F91001),"【教育訓練】配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！ 
【其他福利】
1. 勞、健保、員工福利團體保險、意外險。
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物。
3. 子女教育補助費、登山健行、春秋二季旅遊。
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠。
5. 社團活動、退休制度、完善的教育訓練、週休二日。"
國泰人壽保險股份有限公司_專招博愛通訊處(陳中和),"※ 教育訓練 
配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！ 
※ 其他福利 
1. 勞、健保、員工福利團體保險、意外險 
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物 
3. 子女教育補助費、登山健行、春秋二季旅遊 
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠 
5. 社團活動、退休制度、完善的教育訓練、週休二日"
三希科技集團-3CEMS_英屬維京群島商廣仁科技股份有限公司台北分公司,"勞保、健保、週休二日、男性員工陪產假、育嬰假、生理假、年假、員工體檢、勞退提撥金、職災保險
獎 金 類：年節獎金、員工生日禮金、年終獎金、三節獎金、禮品、激勵獎金、績效獎金
休 假 類：到職滿半年享特休
保 險 類：意外險、壽險、員工／眷屬團保、員工撫恤、員工公出特別保險、員工及眷屬住院慰問金
餐 飲 類：伙食津貼
居 住 類：員工宿舍
娛 樂 類：國內旅遊、慶生會、尾牙、春酒
其 　他：年度旅遊、假日旅遊、慶生活動、婚喪喜慶禮金、享勞/健/團保、退休金、中秋/端午節禮券、生日禮券、年終獎金、績效獎金、員工配股、急難救助、生育金飾。"
磐石保險經紀人股份有限公司(總公司),"年假、內勤員工團險、年度員工旅遊補助、生日禮金、在職教育、三節獎金、職務績效獎金。
公司優勢：
1.全省性通路的大型經紀公司(非報件平台/非單一商品）。
2.律師、會計師之專業團隊。
3.提供整合性金融商品(壽險/產險/團險/專案商品/節稅/醫生市場/職團經營/退休市場)，資產配置需求銷售，落實財務規劃
4.重視員工素質及培訓，歡迎同業夥伴或壽險新人加入磐石大家庭。
5.完善整合性商品、IT、會計、公關及訓練系統
6.優質經營團隊，公司文化願景，開放式的行動辦公室及彈性業務制度。
7.提供客戶多元投保管道,成為市場新趨勢"
富邦人壽保險股份有限公司_高亨通訊處(黃亞葇)核准文號110A01號,行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
緯創軟體股份有限公司,"※提供符合您身價，具競爭力的薪資
※每年多５天有薪個人假
※更多貼心福利制度
※ 獎金/禮品類 
1.年終獎金-視個人績效表現發放年終獎金、分紅等獎金 
2.紅利-視個人績效表現發放年終獎金、分紅等獎金
3.三節獎券/禮品
4.生日禮券
※ 保險類 
1.員工團保: 人壽險、意外險、醫療險、癌症險 
2.員工直系家屬團保: 人壽險、意外險、醫療險 
※ 休閒類 
1.不定期公司團體活動(旅遊/家庭日/電影/節慶) 
2.每月下午茶 
3.社團活動 
※ 制度類 
1.優渥的介紹獎金 
2.多元的教育訓練
※ 請 / 休假制度 
優於勞基法的休假制度-每年多５天有薪個人假
※ 其他 
1.每年定期健康檢查 
2.友善工作環境、多元休閒空間、女性同仁哺乳室 
3.年終尾牙餐會  
※ 補助類 
1.婚、喪、喜、慶補助
2.旅遊補助 
3.員工進修補助 
4.每月通訊費補助500元(一年6,000元)"
富邦人壽保險股份有限公司_富望通訊處(徐子皓)(核准文號110A01號),行銷專員(含)以上職級享：1.&#63791;基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制&#64001;、各&#63952;&#64008;銷津貼、增員獎&#63754;、&#63886;終獎&#63754;、節慶獎&#63754;、業務競賽獎&#63871;及其&#63875;遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
亞東保全股份有限公司,"*週休二日(保全員、工程技術人員、管制客服人員為排班輪休制)
*享勞、健保，勞工退休金，婚喪喜慶補助"
富邦人壽保險股份有限公司_中笙通訊處(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_嘉冕通訊處(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
昱電實業股份有限公司,"待遇:台灣員工享勞健保
應徵大陸工作之人員，依工作當地中國勞動法規實行。(台灣不申報薪資，與不加勞健保)
**依學歷&工作經驗、證照、提供津貼**"
星石股份有限公司,"勞保、健保、週休二日、勞退提撥金
獎金類：全勤獎金、三節獎金
保險類：員工/眷屬團保、員工公出特別保險
餐飲類：誤餐費、伙食津貼
娛樂類：員工聚餐
"
統一超商股份有限公司,"★福儲信託
員工提撥金額公司再加碼
協助你累積另一筆退休金
★年節賀禮
1.	年終獎金
2.	生日禮金
3.	三節禮金 / 禮品
4.	勞動禮金 / 禮品
★貼心補助
1.	結婚補助
2.	生育津貼
3.	旅遊補助
4.	進修補助
5.	喪葬補助
6.	急難救助金
7.	子女獎助學金
8.	子女教育補助
9.	資深員工獎勵
10.	內部加盟優惠
★彈性假期
1.	特休假
2.	家庭照顧假
3.	女性同仁：安胎、育嬰、產檢與生理假
4.	男性同仁：陪產與育嬰假
★健康守護
1.	年度健檢
2.	職災保險
3.	眷屬日活動
4.	專職護理師
5.	幸福講座
6.	員工心理諮商
7.	眷屬團保優惠
8.	駐點醫師服務
9.	媽咪健康手冊
10.	健康促進活動
11.	健康 7 步走"
鴻呈實業股份有限公司,"1.週休二日 / 特休假 / 產檢假/ 產假 / 男性同仁陪產假 / 家庭照顧假 / 女性同仁生理假
2.勞保 /健保 / 勞工退休金提撥 
3.新進同仁到職健康檢查補助 / 在職同仁年度健康檢查
4.年終獎金 / 績效獎金 / 婚喪、生育津貼 / 員工旅遊補助 
5.公司聚餐 / 年終尾牙"
富邦人壽保險股份有限公司_富運通訊處(連政鈞)(核准文號110A01號),行銷專員(含)以上職級享：1.&#63791;基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各&#63952;行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎&#63871;及其&#63875;遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天&#63849;優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_高貴通訊處(宋志衧)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
好市多股份有限公司,"建全的薪資結構-全台灣唯一電腦自動調薪的公司。
時薪人員工時每滿公司規定之小時數，就由電腦主動升級，絕無因個人喜好而影響員工加薪。

薪資自每小時$197起為業界最佳的薪資。
所有員工除主管外皆為時薪員工，全職人員一週工作40小時，兼職人員至少24小時。

免費員工團險 -定期壽險、傷害險、傷害醫療險、住院醫療險、防癌險、職業災害險(配偶及23歲以下子女可免費享有住院醫療險、防癌險)。

優於勞基法之放假規定、週休二日。
視力保健福利-每年2500元的光學眼鏡券(配偶及23歲以下子女可免費享有)
員工體檢
員工免費四張會員卡
退休金提撥
勞/健保
夜間津貼"
台灣巴斯夫股份有限公司,"1.教育訓練:有系統性的員工教育訓練制度及員工語文進修
2.保險:勞工保險、全民健保、團體保險、海外差旅平安險
3.休假:優於勞基法
4.福委會福利:三節獎金、員工災害補助、婚喪補助、生育津貼、年節慰勞、生日禮券、康樂活動、社團補助等
5.定期健康檢查
6.績效獎金
7.觀音廠提供交通車及免費員工餐廳服務"
震旦行股份有限公司五股一分公司_辦公設備系統事業部,"1.責任中心盈餘分配
2.婚喪喜慶補助
3.國內外旅遊補助
4.子女教育獎學金
5.健康檢查
6.住院醫療補助
7.同仁平安保險   
8.住院慰問
9.急難貸款"
Regus Taiwan_台北雷格斯商務服務有限公司,"-優於勞基法的休假(按比例擁有一年14天年假)
-生日當天享有生日假
-不定期員工聚餐
-全球線上內部受訓
-可申請輪調地點"
大西河股份有限公司,供膳、享勞健保、週休二日
欣業企業股份有限公司,工作穩定，有出國、升遷機會，環境優雅便利，公司文化人情味濃厚。
士商國際股份有限公司,"◆ 獎金/禮品類
	1.年終獎金
	2.三節獎金/禮品
◆ 保險類
	1.勞保
	2.健保
	3.員工團保
	4.意外險
◆ 休閒類
	1.慶生活動
        2.籃球、羽球活動
◆ 請 / 休假制度
	1.週休二日
	2.特休/年假
	3.陪產假
	4.女性同仁生理假
	5.育嬰假
◆ 其他
	1.健康檢查
◆ 補助類
	1.結婚禮金
	2.生育津貼
	3.住院慰問金
	4.退職金提撥"
錠嵂保險經紀人股份有限公司_北四營業處(鍾銘澤),"◆ 獎勵
1. 高績效獎勵
2. 年度獎金
3. 主任特別津貼
4. 襄理特別津貼
5. 經理特別津貼
6. 夏季大賽獎勵
7. 冬季大賽獎勵
8. 競賽獎勵
9. 績優人員海內外旅遊

◆教育訓練
一、錠嵂EMBA課程-四大系統
1. 業務階段-卓越行銷系統
2. 主任階段-領導統馭系統
3. 襄理階段-組織創造系統
4. 經理階段-文化願景系統
二、執教班
三、充電會
四、講師訓
五、主襄訓
六、經理訓
七、CEO培訓計畫-三個月紮實的業務培訓(需經甄選及面試通過)
八、專案課程培訓"
富邦人壽保險股份有限公司_花宸一通訊處(張能治)(核准文號110A01號),"更多福利 ：
行銷專員(含)以上職級享：1.&#63791;基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制&#64001;、各&#63952;行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎&#63871;及其&#63875;遊活動；2.富邦以照顧員工權&#64023;、善盡社會責任為經營目標，提供員工產假天&#63849;優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
艾比斯馬特國際股份有限公司,"◆ 獎金/禮金類
	1.年終獎金
	2.端午/中秋節獎金
	3.生日禮金
        4.滿職十年員工禮金
◆ 津貼/補助類
	1.結婚禮金
	2.生育津貼
	3.喪葬補助
        4.員工進修補助
	5.生活娛樂津貼
	6.住院慰問金

◆ 保險類
	1.勞保
	2.健保
	3.員工團保
◆ 休閒類
	1.不定期部門聚餐
◆ 制度類
	1.請、休假按勞基法規定辦理
	2.完整的教育訓練
        3.順暢的升遷管道
◆ 其他
	1.員工購物優惠"
富邦人壽保險股份有限公司_高峰通訊處(呂侑儒)(核准文號110A01號),"行銷專員(含)以上職級享：
1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；

2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
聯安保全股份有限公司,享勞健保、勞退、福利佳、制度健全。
好慶科技企業股份有限公司,"1. 勞基法適用產業 
2. 週休二日,每週五天工作時間
3. 勞保、健保、勞退新制6%提撥(新制)
4. 勞工退休金委員會-中央信託局退休基金存保(舊制)
5. 員工團體保險
6. 國內外年度員工旅遊
7. 生日禮金、慶生會、下午茶
8. 員工聚餐補助
9. 三節獎金(端午、中秋、年終獎金)
10.年終尾牙活動聚餐摸彩
11.職工福利委員會、社團活動等
12.急難救助等福利
13.婚喪喜慶、生育等津貼補助
14.教育訓練課程安排
15.研磨咖啡，無限暢飲
16.員工定期健康檢查"
富邦人壽保險股份有限公司_富則通訊處(龔則銘)(核准文號110A01號),"行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費
由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終
獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員
工權益、善盡社會責任為經營目標，提供員工產假天數優於法
令規定、生育補助、0~6歲子女育兒補助等福利措施。"
台灣三洋電機股份有限公司,依勞基法
財團法人台灣世界展望會,"1. 團體保險
2. 勞、健保及勞退
3. 年終獎金及四節禮金(春節、端午、中秋、聖誕節)
4. 生日、結婚、生育...等禮金
5. 子女教育補助金
6. 年度旅遊及健檢
7. 上班時間8:30~17:00(彈性上班一小時)週休二日
本會具完善的訓練架構(例.新人訓練、在職進修、個案研討、晉升訓練、管理職能培訓..等)"
臺灣新光商業銀行股份有限公司樹林分公司,"考量員工之個人興趣與能力分派職務，按員工個人對自我之認知與期許規劃各種教育訓練課程，
使每位員工均能適才所發所長；待遇比照或優於勞基法之工作條件。"
儒鴻企業股份有限公司,"除了具競爭力的薪資，還提供你更多

【學習發展】
1.健全的訓練體系
2.鼓勵學習的環境
3.順暢的升遷管道

【貼心福利】
1.食衣住行: 免費員工宿舍、免費交通接駁車、員工餐費補助、免費咖啡、部門定期聚餐、員工旅遊。
2.健康生活: 員工專屬健身房、每年員工健檢、各式社團活動、醫師定期駐廠服務。
3.安全保障: 勞保、健保、員工團保、意外險、職災保險、差旅平安保險、退職金提撥。
4.獎金: 端午節獎金、中秋節獎金、勞動節獎金、生日禮金與優於市場水平的年終獎金。
5.其他: 總公司採彈性上班、每周一天提早下班。

【駐外福利】
薪資待遇優於業界水準、豐厚年終獎金、激勵獎金。一年機票10張、年假35天、良好伙食、獨立宿舍、健身房、游泳池、高爾夫球練習場、市區免費接駁車、定期聚餐、員工活動等。"
富邦人壽保險股份有限公司_邦軒通訊處(謝少均)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
運達航運股份有限公司,"一、健康: 每年定期健康檢查
二、保險: 團保(壽險、意外險、住院醫療險)、員工出差意外傷害險
三、獎金: 佳節禮金、年節獎金
四、給假: 週休二日、陪產假、特別休假(依勞基法規定)
五、公司活動: 社團活動、慶生活動、團體旅遊、年終尾牙
六、各項補助: 年度個人旅遊補助、結婚補助、生育補助、喪葬補助(員工/直系親屬)、重大疾病補助(員工 /直系親屬)、重大災害補助、語言訓練補助、子女獎助金"
富邦人壽保險股份有限公司_高超通訊處(林冠宇)(核准文號110A01號),"展業員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、
各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、
善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
立華文創有限公司,"◆ 獎金
1.年終獎金
2.業務提成
3.三節禮金
◆ 保險類
1.勞保
2.健保
◆ 福利
1.健康檢查
2.結婚禮金
3.喪葬撫恤金
4.生日禮金/禮品
5.不定時聚餐
6.誤餐費
7.駐廠幹部返台機票
◆ 請 / 休假制度
1.特休/年假
2.陪產假
3.女性同仁生理假
4.駐廠幹部返台假"
昱億電子股份有限公司,"勞健保, 三節禮券,生日禮券,五一禮券,婚喪喜慶津貼,公司旅遊補助,週休二日"
好樂迪股份有限公司,"◆上班歡樂多
           休假制度：門市正職人員週休二日+國定假日（排休制）。
           制服提供：免費提供背心。
           晉升暢通：晉升管道暢通，只有要不要，沒有能不能。
           進修課程：舉辦各類進修課程，提供在職進修學程。
           年假轉現：兼職年假轉現金發放。
           休息娛樂：休息室內提供第四台，提供休閒娛樂。
           員工優惠餐：優惠餐點供員工選擇。
◆下班健康多
           社團活動補助：社團活動多樣化，任你選擇。
           員工聯誼會：每月提撥聯誼會基金，舉辦聯誼活動。
           員工歡唱券：每月提供歡唱券，讓你唱個夠。   
◆ 安全保障多
           員工保險：勞工保險、全民健康保險、雇主意外責任險。
           消防安全：每月消防安全演練，維護工作環境安全。
           退休制度：依勞動相關法規辦理。
 ◆好康多更多
           禮金/禮品：結婚禮金、生育禮金。
           補助金：傷病慰問金、喪葬補助、急難救助金。
           生日禮金：生日當月發放。
           推薦獎金：員工介紹獎金，介紹愈多，獎金領愈多。
           留任獎金：新進員工任職滿6個月，可領取留任獎金。
           特約商店：享受特約商店優惠。
（意者請洽詢各門市，詳細申請規定依公司內部管理辦法為準）"
進聯工業股份有限公司,"SwitchLab Inc. 重視每一位同仁的工作發展，從新人踏進公司的第一天，相關的訓練及輔導協助方案即開始運行，包括新人共通訓練、部門內的專屬工作教導、部門外的專業訓練課程、駐外培訓(部份職務)等，讓新人在完整的輔導方案下，得以快速發揮能力與績效。

我們致力於建立合理化管理與舒適的工作環境，包括--
1.各式各樣的獎金福利，包括：年節獎金、年終獎金、提案獎金等。
2.年度員工旅遊：福委會精心規劃，提供國內/國外多樣化的旅遊套餐行程與補助。
3.福委會提供百家以上特約廠商購物、消費與團購優惠。
4.家庭日、生活講座/課程等多元化的員工專屬活動。
5.駐廠特約醫護人員提供專業的健康諮詢與講座。
6.提供年度健檢與公司制服。
7.基本保障包含勞健保、6%提撥退休金、生育假、陪產假等。 
8.活潑與充滿驚喜的年終尾牙活動，讓同仁滿載而歸。"
台灣多耐福股份有限公司,公司福利辦法依照勞基法相關規定
台灣杜邦股份有限公司,"-薪資獎金制度及保險事宜
  優於市場的薪資架構，年薪十二個月+2個月年終獎金
  激勵獎金計劃：按公司營運績效及組織目標成效給與
  服務每滿五年之員工可獲得服務年資獎勵
  除政府規定之6%提撥，公司額外替每位員工提撥退休金至杜邦個人專戶
  健保、勞工保險
  免費團體保險(含壽險、意外、住院、癌症醫療團體保險)。員工配偶及子女享有免費 團保住院醫療險、意外傷害醫療險、癌症醫療險。
-休假制度
  新進員工到職當月即享有特休假(依服務比例按月給予特休), 每年額外有彈性休假
  病假:加入公司第二年度起享有30天全薪病假
  事假:提供優於勞基法之有薪事假
  產假、陪產假: 女性員工於分娩前後，給予產假12週；員工於其配偶分娩時，享10日陪產假
  育兒假:員工在杜邦服務期間生產，新生兒一歲前女性員工享有20日,男性10日之全薪育兒假
-員工福利
  國際商務旅行提供國際SOS全球資源確保海外健康醫療安全
  EAP員工關懷專案
  定期提供員工健康檢查與免費疫苗施打
  公司具有專業護理師人員並定期提供職業病專科醫師駐廠問診
  福委會年度旅遊補助
  設有各式公司社團及康樂活動
  竹南廠區健身房具備健身器材並可容納提供多元的運動項目"
東森新媒體控股股份有限公司,"相關福利制度，將依公司營運發展狀況調整!! 

◆ 獎金/禮品類
        1.季獎金
	2.年終獎金
◆ 保險類
	1.勞保
	2.健保
	3.員工團保
◆ 休閒類
	1.每日提供免費茶點、咖啡
        2.每月寵物日
        3.每月慶生會
        4.其他大型員工福利活動
◆ 制度類
	1.介紹獎金
◆ 請 / 休假制度
	1.週休二日
	2.特休/年假
        3.婚/喪假
	4.產假/陪產假
	5.家庭照顧假
	6.女性同仁生理假
◆ 補助類
	1.三節禮金/禮品
        2.生日禮金/禮品
        3.結婚禮金
	4.生育津貼
	5.住院慰問金
        6.急難救助金
        7.每年定期健康檢查"
第一傳動科技股份有限公司,"◆ 獎金/禮品類
	1. 年終獎金
                2. 績效獎金
                3. 中秋端午禮金
◆ 保險類
	1. 勞保
	2. 健保
        3. 6%勞退提撥
        4. 團保
◆ 制度類
	1. 績效獎金
                2. 生日禮金
                3. 國內外員工旅遊
                4. 每季聚餐
                5. 免費員工健檢
                6. 不定期午茶
                7. 每月慶生會        
◆ 請 / 休假制度
	1. 週休二日
	2. 特休/年假
        3. 有薪補休假
        4. 有薪托育假
◆ 教育訓練
	1. 新進人員教育訓練
	2. 業務人員見習訓練
          3. 管理人員訓練
          4. 各式生活類講座
◆ 其它
    1. 歐美時尚休閒風格辦公室 在這上班就能讓您成為朋友們羨慕的對象
    2. 符合人體工學的自動升降辦公桌
    3. 夏季免費飲料供應
    4. 薪資戶跨行交易免手續費優惠"
第一傳動科技股份有限公司,"◆ 獎金/禮品類
	1. 年終獎金
                2. 績效獎金
                3. 中秋端午禮金
◆ 保險類
	1. 勞保
	2. 健保
        3. 6%勞退提撥
        4. 團保
◆ 制度類
	1. 績效獎金
                2. 生日禮金
                3. 國內外員工旅遊
                4. 每季聚餐
                5. 免費員工健檢
                6. 不定期午茶
                7. 每月慶生會        
◆ 請 / 休假制度
	1. 週休二日
	2. 特休/年假
        3. 有薪補休假
        4. 有薪托育假
◆ 教育訓練
	1. 新進人員教育訓練
	2. 業務人員見習訓練
          3. 管理人員訓練
          4. 各式生活類講座
◆ 其它
    1. 歐美時尚休閒風格辦公室 在這上班就能讓您成為朋友們羨慕的對象
    2. 符合人體工學的自動升降辦公桌
    3. 夏季免費飲料供應
    4. 薪資戶跨行交易免手續費優惠"
富邦人壽保險股份有限公司_花宏通訊處(張慧誼)核准文號110A01號,行銷專員(含)以上職級享：1.&#63791;基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各&#63952;行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎&#63871;及其&#63875;遊活動；2.富邦以照顧員工權&#64023;、善盡社會責任為經營目標，提供員工產假天&#63849;優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
ViewSonic Corporation_優派國際股份有限公司,"ViewSonic規劃符合組織與個人發展之學習方案，讓同仁充分發揮潛能與專業志趣。開放式的組織環境以及自由愉快的工作氣氛，帶領每一位員工盡情揮灑熱情並尋找到屬於自己的絕佳舞台。

具競爭力之薪資制度
公司提供具市場競爭力的薪資制度，並不吝與同仁分享營運上的績優表現。正職員工享有：
■ 保障薪資14個月
■ 與績效連結之員工激勵獎金

優於勞基法之福利措施 
■ 完善的保險計畫： 
依法為每位員工投保勞工保險、全民健康保險及每月定期提繳退休金外，員工享有團體綜合保險保障，包括壽險、意外險、醫療險、癌症險等。員工並可自費為眷屬加保，享受優於業界之保障內容與額度。 
■ 彈性的假勤制度：
依法到職半年享特休3天，到職一年享特休7天。本公司員工到職即可使用當年度特休(預支)，另給予一年7天有薪假。 
■ 周詳的員工保健方案：
重視同仁的身心健康，定期辦理員工健康檢查方案，幫助同仁掌握健康狀況。
重視工作環境與生活品質之間的平衡。明亮優雅的辦公空間及全天候的咖啡供應，讓員工在工作同時也能享受生活。
■ 優惠的員購機會：
本公司各項產品均可洽詢員購優惠價格。 
■ 豐富的福委會活動： 
規劃年度員工旅遊、系列講座、社團活動(瑜珈社、登山社、鐵馬社、羽球社、龍舟隊)、婚喪補助、生日禮金、三節獎金、免費電影票、年度buffet聚餐等活動，增進同仁間情感交流。 
■ 獨創的藝文陶冶環境:
除了掛滿名家畫作的辦公環境外，不定期舉辦主題性知名畫家之畫作展覽，培養同仁的藝文氣息與美學觀念，鼓勵從藝術氛圍中激發創意。
■ 員工健身房:
全新完工的舒適健身房，提供員工多樣化的運動選擇，讓員工可以達到健康生活、快樂工作的目標。﻿﻿﻿﻿﻿"
富邦人壽保險股份有限公司_高英通訊處(朱家珍)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_富橋通訊處(江顯森)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
全業紡織股份有限公司,"1. 享勞保、健保、勞退    
2. 供應午餐、年終獎金    
3. 績效獎金    
4. 週休二日"
富邦人壽保險股份有限公司_中江通訊處(吳雅玲)(核准文號110A01號),"行銷專員(含)以上職級享：
1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；
2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
友尚股份有限公司,"1. 享健保、勞保、退休金提撥
2. 員工團體保險
3. 員工筆電補助
4. 福委會社團活動、員工旅遊、教育補助、婚喪喜慶補助等
5. 年節獎金、季獎金
6. 生日假(新人需年資滿一年後申請)
7. 年度健康檢查
8. 業務人員手機及油資費用補助"
富邦人壽保險股份有限公司_富夯通訊處(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
裕薪汽車商行,"上班時間：早上9點到下午6點，星期一到星期六(隔周休)，休星期日
公司提供中/晚餐"
香港商霞日美臻股份有限公司台灣分公司,享受勞健保、保障年終最少一個月、生日禮金 、婚喪補助禮金
